STATION_ID,OBTAINED_DATE,SURFACE_TEMP,SURFACE_CONDITION
RTOI4,1/13/2019 8:50,24.44,Ice Watch
RTOI4,1/13/2019 9:20,23.72,Ice Watch
RTOI4,1/13/2019 9:50,23.18,Ice Watch
RTOI4,1/13/2019 10:40,22.28,Ice Watch
RTOI4,1/13/2019 10:50,22.1,Ice Watch
RTOI4,1/13/2019 13:30,20.12,Ice Watch
RTOI4,1/14/2019 4:18,24.44,Ice Watch
RTOI4,1/14/2019 9:00,21.02,Ice Watch
RTOI4,1/14/2019 10:00,23.72,Ice Watch
RTOI4,1/14/2019 15:20,28.58,Ice Watch
RTOI4,1/14/2019 17:50,34.34,Trace Moisture
RTOI4,1/14/2019 19:40,35.6,Wet
RTOI4,1/14/2019 19:50,35.96,Wet
RTOI4,1/14/2019 20:10,35.96,Wet
RTOI4,1/14/2019 20:20,35.96,Trace Moisture
RTOI4,1/14/2019 21:40,34.34,Trace Moisture
RTOI4,1/15/2019 3:00,30.74,Ice Watch
RTOI4,1/15/2019 4:00,30.56,Ice Watch
RTOI4,1/15/2019 6:30,30.38,Ice Watch
RTOI4,1/15/2019 9:20,30.56,Chemically Wet
RTOI4,1/15/2019 10:50,30.38,Chemically Wet
RTOI4,1/15/2019 13:00,31.1,Ice Watch
RTOI4,1/15/2019 16:20,35.6,Wet
RTOI4,1/15/2019 16:40,36.32,Wet
RTOI4,1/15/2019 17:10,37.4,Wet
RTOI4,1/15/2019 17:30,37.58,Wet
RTOI4,1/15/2019 18:30,40.1,Wet
RTOI4,1/15/2019 22:20,37.58,Wet
RTOI4,1/15/2019 22:30,37.4,Wet
RTOI4,1/15/2019 22:40,37.22,Wet
RTOI4,1/15/2019 23:00,36.5,Wet
RTOI4,1/16/2019 0:20,35.24,Wet
RTOI4,1/16/2019 2:20,34.7,Wet
RTOI4,1/16/2019 2:50,34.52,Wet
RTOI4,1/16/2019 3:10,34.34,Wet
RTOI4,1/16/2019 3:20,34.34,Wet
RTOI4,1/16/2019 5:50,33.62,Wet
RTOI4,1/16/2019 6:20,33.44,Wet
RTOI4,1/16/2019 8:00,32.18,Wet
RTOI4,1/16/2019 8:10,32,Wet
RTOI4,1/16/2019 8:20,31.82,Ice Watch
RTOI4,1/16/2019 9:00,31.64,Ice Watch
RTOI4,1/16/2019 9:30,32,Ice Watch
RTOI4,1/17/2019 2:00,30.02,Dry
RTOI4,1/17/2019 6:00,30.02,Ice Watch
RTOI4,1/17/2019 7:00,30.2,Ice Watch
RTOI4,1/17/2019 16:20,37.04,Wet
RTOI4,1/17/2019 16:30,37.22,Wet
RTOI4,1/17/2019 16:40,37.4,Wet
RTOI4,1/17/2019 16:50,37.58,Trace Moisture
RTOI4,1/17/2019 20:20,41.36,Dry
RTOI4,1/18/2019 3:40,30.38,Dry
RTOI4,1/18/2019 4:10,30.2,Dry
RTOI4,1/18/2019 6:20,27.14,Dry
RTOI4,1/18/2019 6:50,25.34,Dry
RTOI4,1/18/2019 8:20,25.16,Dry
RTOI4,1/18/2019 13:20,23.54,Dry
RTOI4,1/18/2019 15:40,28.4,Dry
RTOI4,1/18/2019 16:20,29.48,Dry
RTOI4,1/18/2019 17:20,29.84,Dry
RTOI4,1/18/2019 21:50,27.14,Ice Watch
RTOI4,1/18/2019 23:30,22.64,Chemically Wet
RTOI4,1/19/2019 0:20,23.72,Chemically Wet
RTOI4,1/19/2019 1:20,23.72,Ice Warning
RTOI4,1/19/2019 2:00,23.54,Ice Warning
RTOI4,1/19/2019 3:00,23,Ice Warning
RTOI4,1/19/2019 3:10,22.64,Ice Warning
RTOI4,1/19/2019 3:20,22.46,Ice Warning
RTOI4,1/19/2019 4:10,22.28,Ice Warning
RTOI4,1/19/2019 4:30,22.1,Ice Watch
RTOI4,1/19/2019 6:30,19.76,Ice Watch
